skill_id	lvl_active_learning	lvl_active_listening	lvl_administration_and_management	lvl_administrative	lvl_arm_hand_steadiness	lvl_auditory_attention	lvl_biology	lvl_building_and_construction	lvl_category_flexibility	lvl_chemistry	lvl_communications_and_media	lvl_complex_problem_solving	lvl_computers_and_electronics	lvl_control_precision	lvl_coordination	lvl_critical_thinking	lvl_customer_and_personal_service	lvl_deductive_reasoning	lvl_depth_perception	lvl_design	lvl_dynamic_flexibility	lvl_dynamic_strength	lvl_economics_and_accounting	lvl_education_and_training	lvl_engineering_and_technology	lvl_english_language	lvl_equipment_maintenance	lvl_equipment_selection	lvl_explosive_strength	lvl_extent_flexibility	lvl_far_vision	lvl_fine_arts	lvl_finger_dexterity	lvl_flexibility_of_closure	lvl_fluency_of_ideas	lvl_food_production	lvl_foreign_language	lvl_geography	lvl_glare_sensitivity	lvl_gross_body_coordination	lvl_gross_body_equilibrium	lvl_hearing_sensitivity	lvl_history_and_archeology	lvl_inductive_reasoning	lvl_information_ordering	lvl_installation	lvl_instructing	lvl_judgment_and_decision_making	lvl_law_and_government	lvl_learning_strategies	lvl_management_of_financial_resources	lvl_management_of_material_resources	lvl_management_of_personnel_resources	lvl_manual_dexterity	lvl_mathematical_reasoning	lvl_mathematics	lvl_mechanical	lvl_medicine_and_dentistry	lvl_memorization	lvl_monitoring	lvl_multilimb_coordination	lvl_near_vision	lvl_negotiation	lvl_night_vision	lvl_number_facility	lvl_operation_and_control	lvl_operations_analysis	lvl_operations_monitoring	lvl_oral_comprehension	lvl_oral_expression	lvl_originality	lvl_perceptual_speed	lvl_peripheral_vision	lvl_personnel_and_human_resources	lvl_persuasion	lvl_philosophy_and_theology	lvl_physics	lvl_problem_sensitivity	lvl_production_and_processing	lvl_programming	lvl_psychology	lvl_public_safety_and_security	lvl_quality_control_analysis	lvl_rate_control	lvl_reaction_time	lvl_reading_comprehension	lvl_repairing	lvl_response_orientation	lvl_sales_and_marketing	lvl_science	lvl_selective_attention	lvl_service_orientation	lvl_social_perceptiveness	lvl_sociology_and_anthropology	lvl_sound_localization	lvl_spatial_orientation	lvl_speaking	lvl_speech_clarity	lvl_speech_recognition	lvl_speed_of_closure	lvl_speed_of_limb_movement	lvl_stamina	lvl_static_strength	lvl_systems_analysis	lvl_systems_evaluation	lvl_technology_design	lvl_telecommunications	lvl_therapy_and_counseling	lvl_time_management	lvl_time_sharing	lvl_transportation	lvl_troubleshooting	lvl_trunk_strength	lvl_visual_color_discrimination	lvl_visualization	lvl_wrist_finger_speed	lvl_writing	lvl_written_comprehension	lvl_written_expression
47-4071.00			3.05	2.36			1.79	2.88		2.34	1.72		2.59				4.47			2.41			1.28	2.99	2.98	2.85						0.01				0.09	0.44	2.28					0.56						2.26							2.91	4.03	0.76																2.27		0.29	2.59		2.29		1.63	2.88							1.21					0.74													1.40	0.57			3.76								
47-4091.00			3.06	0.84			0.90	3.33		2.05	0.97		0.86				3.82			2.30			0.86	2.21	2.99	1.51						0.55				0.09	0.61	1.63					0.73						1.25							2.13	3.92	1.19																0.98		1.01	1.69		1.61		1.44	2.51							1.17					0.23													1.00	1.20			3.19								
47-4099.03			3.70	3.74			1.39	4.35		2.39	1.78		3.43				4.22			3.52			3.22	3.77	3.13	3.09						0.48				0.96	1.26	1.65					0.83						2.35							3.57	4.04	1.57																2.78		0.96	2.48		3.26		1.74	3.48							2.61					1.30													1.39	1.39			2.52								
47-5011.00			2.75	1.58			0.96	2.75		2.77	1.09		1.67				2.21			1.93			1.25	3.15	2.20	2.93						0.18				0.15	0.99	2.29					0.45						2.20							3.25	4.60	1.22																1.81		0.25	2.91		1.59		2.41	2.81							1.04					1.20													0.51	1.65			2.88								
47-5012.00			2.87	1.66			0.82	1.77		3.24	1.40		1.59				2.54			1.25			0.80	3.74	2.54	1.69						0.03				0.02	0.54	1.60					0.30						1.44							3.72	4.94	1.64																3.32		0.74	2.06		2.51		2.69	2.63							0.83					0.20													1.11	1.46			2.58								
47-5013.00			3.72	2.62			1.35	2.65		3.15	1.45		2.96				4.67			3.07			1.58	3.74	4.72	3.17						0.00				0.55	1.42	1.82					0.79						1.96							4.19	5.20	1.49																2.55		0.55	3.60		3.45		3.05	3.35							3.24					1.24													0.89	0.50			3.47								
47-5022.00			2.34	0.88			0.81	3.61		1.75	0.92		1.24				2.05			2.30			0.65	2.25	2.18	2.13						0.06				0.19	0.41	0.91					0.16						1.42							2.60	3.79	0.41																1.15		0.58	1.58		1.51		1.54	3.07							0.89					0.57													0.88	0.62			2.13								
47-5023.00			2.82	2.03			1.40	2.06		2.20	1.15		1.22				2.44			3.25			0.36	2.61	3.15	2.60						0.00				0.00	0.61	1.95					0.51						2.81							3.12	4.54	1.40																1.07		0.51	2.67		2.85		1.97	3.30							0.55					0.60													1.50	0.87			3.45								
47-5032.00			3.57	3.52			0.87	2.91		2.96	1.43		2.59				3.88			3.08			2.09	3.33	3.88	3.04						0.17				0.08	0.43	1.78					0.83						4.00							4.04	4.00	1.04																2.83		0.67	2.50		3.67		2.00	4.67							3.17					0.88													1.00	0.83			3.38								
47-5041.00			2.75	1.34			0.93	2.70		1.76	1.87		1.47				1.41			2.47			0.88	3.91	2.70	2.42						0.02				0.27	0.10	1.73					0.48						3.40							2.79	4.69	1.21																2.00		0.10	2.15		3.72		1.72	2.71							1.10					0.75													1.96	0.66			3.03								
47-5043.00			2.09	1.65			0.53	1.64		1.53	1.39		1.99				2.08			2.25			1.24	3.68	2.53	2.41						0.00				0.09	0.18	1.76					0.15						3.14							1.69	3.95	0.82																1.41		0.07	1.56		3.79		1.03	3.51							1.75					0.35													1.08	0.80			2.10								
47-5044.00			2.12	0.79			0.45	1.50		1.73	0.91		0.99				1.08			2.20			0.94	3.51	2.60	2.79						0.00				0.31	0.58	2.25					0.27						2.71							1.89	4.01	1.55																1.22		0.53	1.74		2.65		1.60	2.88							0.93					0.74													1.00	0.94			2.35								
47-5051.00			2.42	1.79			1.55	1.91		2.13	0.77		1.54				2.95			1.70			2.01	3.16	2.43	2.68						0.29				1.45	1.65	1.28					0.87						1.67							2.45	2.94	2.10																2.14		1.64	2.64		3.39		1.35	2.22							1.79					1.84													1.87	1.90			2.48								
47-5071.00			2.41	1.82			0.66	2.80		2.30	0.61		1.82				3.03			2.27			0.95	2.23	2.48	2.25						0.10				0.13	0.13	1.11					0.10						0.33							3.25	5.01	0.13																1.13		0.14	2.65		2.85		0.81	1.77							0.79					0.15													0.55	0.09			2.73								
47-5081.00			2.63	1.65			1.00	2.49		2.22	1.21		1.59				2.94			1.55			1.68	2.61	2.86	2.71						0.00				0.26	0.52	1.38					0.03						1.94							2.82	4.44	0.80																1.92		0.00	2.46		2.93		1.25	3.32							1.75					0.43													0.82	0.37			3.31								
49-1011.00			4.42	3.57			1.18	1.76		2.79	2.13		3.70				4.36			2.36			2.31	3.21	3.25	3.30						0.06				0.02	1.08	0.48					0.17						1.01							3.66	4.63	0.21																3.61		0.26	2.13		3.49		2.52	2.79							2.18					1.15													1.61	1.09			2.28								
49-2011.00			1.39	1.46			0.09	0.92		0.33	1.35		5.30				3.90			1.33			0.76	2.33	3.34	2.60						0.02				0.06	0.07	0.72					0.02						0.27							1.88	3.86	0.06																0.84		0.02	1.60		1.61		0.73	1.13							1.38					0.12													1.92	0.03			1.52								
49-2021.00			4.14	3.14			0.57	2.77		1.60	3.13		4.36				4.90			2.88			1.53	3.64	3.88	3.25						0.35				0.08	0.62	2.44					0.87						1.60							3.64	4.11	1.08																2.55		1.11	2.87		2.27		1.36	3.57							1.89					0.73													4.60	0.88			2.11								
49-2022.00			3.26	3.06			0.82	1.74		0.88	2.45		4.55				4.76			2.31			1.02	3.16	3.46	3.45						0.25				0.26	0.43	2.24					0.46						1.81							3.31	3.69	0.42																1.98		0.30	1.80		2.79		1.59	3.19							3.13					1.03													4.44	0.78			2.21								
49-2091.00			2.61	2.96			0.38	0.86		3.12	1.61		5.32				3.93			3.98			1.28	3.46	4.25	4.33						0.47				0.11	1.01	1.44					0.47						2.42							3.94	5.73	0.43																1.50		0.94	3.09		2.99		1.35	3.39							1.64					0.89													3.49	0.54			3.07								
49-2092.00			2.89	1.94			0.00	2.00		2.40	1.10		2.50				2.51			2.58			0.93	3.32	2.95	2.67						0.19				0.77	0.16	0.83					0.63						1.28							3.17	5.05	0.62																1.11		0.45	2.61		3.35		1.23	2.47							1.63					0.23													0.95	0.83			1.89								
49-2093.00			3.01	3.22			0.66	2.53		2.18	2.10		4.94				3.52			4.13			2.17	4.06	4.67	4.11						0.90				0.38	1.36	2.09					0.84						2.84							4.33	4.53	0.76																2.24		1.25	3.13		3.65		2.91	4.29							0.92					1.55													3.97	1.03			3.36								
49-2094.00			3.78	2.90			0.99	2.32		3.31	2.46		5.07				3.98			3.86			1.25	4.36	4.25	3.39						0.29				0.24	0.49	0.83					0.60						1.59							3.82	5.42	0.69																1.81		0.82	3.12		4.20		2.38	2.28							0.91					0.97													2.83	0.74			2.22								
49-2095.00			3.04	2.36			1.09	4.02		2.89	1.39		4.14				3.33			4.06			0.96	3.62	4.46	3.81						0.00				0.00	0.27	1.14					0.31						2.47							4.74	5.47	1.55																2.27		0.35	4.23		2.31		2.84	4.08							0.21					1.57													3.25	1.04			2.16								
49-2096.00			2.92	1.50			0.02	1.96		1.90	1.43		4.35				3.09			3.22			0.92	3.35	3.63	2.92						0.41				0.00	0.87	0.10					0.41						0.80							4.18	4.83	0.39																1.31		0.55	1.98		1.06		0.51	2.14							2.41					0.51													1.54	0.29			1.86								
49-2097.00			3.35	2.45			0.06	3.23		0.44	2.42		4.67				4.23			2.79			0.75	2.37	3.37	2.98						0.35				0.05	0.66	0.98					0.39						0.56							3.36	3.89	0.07																0.91		0.55	1.91		2.48		1.18	1.62							2.52					0.83													3.35	0.54			1.49								
49-2098.00			2.34	1.91			0.00	3.85		0.83	2.06		4.25				4.72			2.51			1.10	3.13	3.06	3.21						0.01				0.02	0.72	0.53					0.00						1.83							2.77	3.66	0.05																1.08		0.03	1.96		2.93		0.61	4.18							1.80					0.06													4.55	0.02			0.95								
49-3011.00			2.26	2.67			0.18	1.20		3.82	1.29		3.34				2.92			3.38			0.86	3.39	3.97	3.62						0.07				0.04	0.38	1.60					0.75						2.98							3.46	6.45	0.46																1.58		0.23	3.19		3.38		1.48	3.99							0.95					0.68													1.96	0.50			3.94								
49-3021.00			2.25	0.50			0.11	2.00		2.58	0.75		2.37				2.70			1.81			0.43	2.91	3.00	3.60						0.70				0.00	0.79	0.29					0.00						1.57							3.29	4.10	0.00																0.76		0.00	2.07		2.68		0.90	2.06							0.91					0.11													0.70	0.37			3.10								
49-3022.00			2.91	3.30			0.06	0.35		1.64	1.15		2.27				4.15			1.60			1.97	2.63	2.17	2.91						0.00				0.00	0.29	1.50					0.00						0.56							2.22	3.57	0.70																2.14		0.05	1.53		2.05		1.38	2.38							2.61					0.07													1.19	0.99			2.05								
49-3023.00			2.52	2.39			0.21	1.25		2.63	1.02		3.61				3.13			1.45			0.98	2.45	3.05	2.76						0.06				0.15	0.32	0.49					0.12						1.24							2.58	6.28	0.34																0.79		0.09	2.51		1.69		0.52	2.05							1.47					0.23													1.31	0.44			2.82								
49-3031.00			2.62	1.38			2.07	2.94		3.20	1.90		3.63				2.97			2.54			1.31	4.19	3.08	3.49						0.62				1.09	0.26	1.43					0.64						2.04							3.09	6.02	0.48																1.55		0.72	3.22		2.76		2.37	3.20							1.10					0.88													1.81	1.08			4.39								
49-3041.00			2.04	2.26			0.57	1.80		2.15	0.75		4.61				3.29			2.93			0.39	1.68	3.99	3.27						0.03				1.14	1.18	1.53					0.57						0.60							3.80	6.24	0.25																0.56		0.08	4.00		2.74		0.97	0.75							1.47					0.17													0.92	0.44			1.69								
49-3042.00			1.43	1.98			0.36	2.76		2.29	0.79		3.45				3.17			2.69			0.31	2.09	3.06	2.39						0.00				0.53	0.12	1.08					0.25						1.66							3.48	6.23	0.21																0.80		0.27	3.01		2.08		1.05	2.80							0.99					0.26													0.69	0.19			2.89								
49-3043.00			2.96	1.86			0.10	4.42		1.01	1.00		1.91				2.72			3.71			1.50	2.62	4.18	2.35						0.02				0.46	0.56	0.54					0.06						1.46							2.92	5.10	0.66																1.33		0.48	2.48		2.87		1.01	2.71							0.69					0.43													0.88	0.35			3.27								
49-3051.00			3.05	2.76			1.18	2.81		2.97	1.49		3.84				4.42			3.16			1.45	3.33	3.80	3.14						0.17				0.34	0.18	1.46					0.31						2.04							3.42	6.26	0.28																1.70		0.34	3.44		2.60		1.72	2.36							2.32					0.97													1.56	0.52			3.34								
49-3052.00			2.11	1.51			0.50	0.74		1.83	1.26		3.58				3.32			2.11			0.49	3.32	2.02	3.51						0.09				0.29	0.59	0.81					0.09						1.81							3.34	6.40	0.11																1.92		0.37	2.83		2.36		0.51	2.01							2.29					0.59													1.02	0.13			1.95								
49-3053.00			2.69	1.94			1.09	1.92		2.84	2.01		2.84				3.53			3.19			1.57	2.98	3.36	3.32						0.00				0.39	0.46	1.85					0.84						2.33							2.59	5.61	0.64																1.75		0.76	3.32		2.17		1.65	2.26							2.94					1.60													1.18	1.17			3.14								
49-3091.00			3.42	3.56			0.01	3.51		2.00	1.95		3.07				4.31			3.16			1.05	3.57	3.77	3.55						0.40				0.35	0.80	1.24					1.15						1.70							3.75	5.74	0.01																1.42		0.02	2.67		2.74		0.87	1.59							3.63					0.98													0.83	0.02			2.59								
49-3092.00			3.29	1.97			1.10	4.55		1.99	1.47		2.77				3.48			2.66			1.12	4.19	3.37	3.49						0.02				0.03	0.14	0.79					0.82						1.41							2.78	4.83	0.80																1.96		0.59	2.54		2.45		1.33	2.10							2.47					0.24													1.90	0.77			2.25								
49-3093.00			2.77	1.84			0.23	1.47		1.63	1.14		2.71				3.44			1.49			0.96	2.74	2.51	2.53						0.19				0.32	0.78	0.60					0.40						2.03							2.57	4.30	0.30																1.71		0.38	1.36		2.80		1.16	2.29							3.28					0.57													1.37	0.38			2.55								
49-9011.00			2.28	1.03			0.09	4.40		0.70	0.76		2.49				4.13			3.12			0.59	2.73	3.55	3.05						0.13				0.08	0.22	0.74					0.08						1.33							3.30	4.66	0.38																1.34		0.16	2.38		2.21		0.73	2.90							2.13					0.20													0.84	0.19			1.85								
49-9012.00			3.37	2.65			1.45	3.37		3.15	1.43		4.00				3.96			3.57			1.72	3.21	4.22	2.96						0.03				0.19	0.66	1.57					0.60						2.65							3.81	5.12	0.96																1.80		0.55	3.33		3.23		1.98	3.99							1.35					0.57													2.01	0.77			2.03								
49-9021.00			3.54	2.33			1.24	4.97		3.49	1.93		3.85				4.85			4.05			1.19	3.54	4.34	3.05						0.00				1.88	0.90	1.11					0.55						2.32							4.06	5.93	0.89																1.72		0.79	4.01		2.40		1.97	3.58							3.02					0.56													2.50	1.03			2.83								
49-9031.00			3.21	3.79			0.79	1.32		2.06	1.06		4.18				4.73			1.99			1.78	2.98	3.10	2.90						0.00				0.54	1.03	1.92					0.00						1.20							2.86	4.40	0.27																2.26		0.39	2.22		2.04		1.94	1.68							2.91					0.80													0.82	0.48			1.99								
49-9041.00			1.97	1.16			0.58	2.45		2.47	0.97		3.27				1.71			3.04			0.72	3.11	3.57	3.07						0.50				1.11	0.51	0.62					0.31						0.74							3.10	4.86	0.56																0.99		0.88	2.83		2.97		1.48	2.50							0.78					0.64													1.25	0.66			1.20								
49-9043.00			3.16	2.19			0.54	2.19		2.46	1.64		2.43				1.70			3.64			0.65	3.44	2.86	3.37						0.10				0.10	0.48	0.76					0.46						2.08							3.00	5.82	0.18																1.21		0.54	2.31		3.45		1.72	2.63							0.48					0.45													1.30	0.76			0.88								
49-9044.00			4.05	2.41			1.55	5.55		2.95	2.19		3.27				3.09			4.27			1.59	4.55	4.68	3.77						0.41				2.32	1.41	1.50					0.50						2.41							4.73	6.55	0.86																2.86		1.32	4.05		3.73		2.64	3.73							2.00					1.36													2.05	1.29			3.09								
49-9045.00			1.48	0.77			0.38	1.91		2.07	1.10		1.22				1.35			2.21			0.08	2.38	2.18	2.82						0.02				0.22	0.02	0.48					0.22						1.20							2.57	4.27	0.23																0.92		0.07	1.10		2.50		0.43	2.44							0.44					0.27													0.48	0.01			1.30								
49-9051.00			2.83	1.69			0.68	4.41		1.58	2.24		2.03				3.62			3.75			1.21	3.74	3.56	3.09						0.35				0.00	0.46	2.11					0.41						1.73							2.99	3.96	1.17																1.67		0.48	2.57		2.08		1.89	3.03							1.02					0.60													1.79	1.49			3.18								
49-9052.00			2.71	1.87			0.24	2.54		1.17	2.77		3.96				4.35			2.98			0.92	3.60	2.77	3.78						0.01				0.11	0.91	1.37					0.16						1.15							2.95	3.47	0.20																1.72		0.48	1.70		2.63		1.08	3.63							2.32					0.24													5.54	0.79			2.39								
49-9061.00			2.38	2.88			0.00	0.66		1.67	1.97		4.25				4.16			2.41			1.75	3.65	3.23	3.45						1.22				0.26	0.87	0.72					0.62						1.53							2.95	4.59	0.22																2.60		0.76	1.23		2.56		1.57	1.38							3.10					0.75													1.44	0.18			1.18								
49-9062.00			2.16	2.20			1.25	2.37		2.60	1.12		4.34				4.36			2.53			0.93	2.09	3.37	2.76						0.11				0.37	0.48	1.42					0.55						1.75							3.02	4.75	1.57																1.27		0.99	2.53		2.83		0.85	2.19							1.75					0.68													1.71	0.49			1.77								
49-9063.00			3.14	3.09			0.64	1.59		2.82	2.14		3.32				4.48			2.77			2.36	3.05	3.45	3.14						3.50				0.00	0.59	0.82					0.95						1.32							2.59	4.77	0.50																1.25		0.29	2.73		2.50		2.50	2.09							3.95					0.86													1.05	0.50			2.36								
49-9064.00			3.81	4.01			0.01	0.68		1.75	1.56		3.38				3.82			2.52			2.81	3.41	3.12	3.28						0.47				0.00	1.02	1.59					1.37						1.50							2.89	4.64	0.06																2.79		1.34	2.51		3.61		2.03	1.43							3.05					0.66													0.39	0.10			1.05								
49-9071.00			1.86	1.48			0.55	4.43		1.92	1.46		2.08				3.11			2.59			0.95	2.16	2.51	3.40						0.09				0.40	0.23	0.80					0.19						1.45							2.93	4.37	0.50																1.17		0.50	1.67		3.27		1.20	2.58							0.79					0.59													1.34	0.40			1.87								
49-9081.00			3.07	3.79			0.55	4.18		2.37	1.31		4.90				2.53			2.73			1.94	3.88	4.10	3.63						0.23				0.55	1.35	2.21					0.83						1.91							3.72	5.86	1.80																2.40		0.73	3.60		2.85		2.40	3.87							1.36					0.65													2.90	0.98			2.84								
49-9091.00			2.52	2.72			0.97	1.80		1.47	1.21		3.95				3.66			1.70			1.83	2.20	2.72	2.58						0.17				1.52	0.56	0.65					0.85						1.48							2.41	4.19	1.06																2.25		1.25	1.72		2.33		2.06	1.95							2.06					0.87													1.06	1.37			1.78								
49-9092.00			2.34	1.87			2.15	4.50		2.62	1.14		2.00				3.45			3.03			0.70	3.07	3.45	2.78						0.00				0.00	0.15	2.89					0.40						2.00							3.28	5.01	2.64																1.98		0.23	4.33		2.30		2.21	3.31							1.44					0.31													1.50	1.30			2.38								
49-9094.00			3.68	3.31			0.27	3.38		1.65	2.42		3.65				4.42			3.15			3.12	3.69	3.15	3.31						0.19				0.35	0.92	1.08					0.88						3.00							3.42	4.92	0.46																2.73		0.60	2.23		2.19		1.62	3.92							3.73					0.77													2.19	1.00			2.35								
49-9095.00			3.20	1.21			1.40	5.18		2.76	1.63		1.66				4.24			4.85			1.23	3.65	4.13	3.39						1.20				1.21	1.40	2.36					1.20						3.77							3.71	4.45	2.02																2.93		1.21	3.00		3.08		2.67	4.86							2.44					1.79													2.12	2.23			4.38								
49-9096.00			3.59	2.42			1.09	4.42		2.05	2.02		3.30				3.85			3.84			1.66	3.71	3.69	3.28						0.57				0.65	0.56	1.94					0.94						1.63							3.56	4.31	1.06																2.18		0.54	2.90		3.39		2.33	3.54							2.47					1.47													1.39	0.95			2.79								
49-9097.00			1.78	1.04			0.00	4.40		1.66	1.92		3.20				1.42			3.10			0.62	2.64	3.86	3.06						0.00				0.02	0.00	1.40					0.25						2.80							3.09	4.77	0.72																1.09		0.27	1.50		2.30		1.22	4.07							0.25					0.82													2.94	0.60			3.44								
49-9098.00			2.52	2.30			0.72	4.01		2.37	1.20		3.31				4.09			3.85			1.50	2.37	4.28	3.11						0.00				0.79	0.43	0.62					0.28						1.30							3.48	5.20	0.59																2.18		0.22	3.57		3.26		1.43	3.60							1.39					0.51													1.65	1.48			1.64								
49-9099.01			3.81	3.15			1.56	3.76		4.14	2.41		4.02				1.52			4.13			1.45	4.17	4.12	3.85						0.00				0.11	0.36	1.93					1.02						2.76							3.97	5.40	1.89																2.03		0.82	4.42		3.48		1.64	3.80							0.95					0.23													3.52	0.56			2.16								
51-1011.00			4.06	3.40			0.71	2.15		2.15	1.96		3.82				2.95			2.88			2.00	3.90	3.77	3.48						0.16				1.23	0.72	0.67					0.67						1.39							3.71	3.46	0.73																4.02		1.37	1.56		4.60		2.89	2.78							2.10					1.44													1.00	1.43			2.06								
51-2011.00			2.75	1.59			0.67	1.73		2.34	1.61		2.72				2.85			3.13			1.61	3.79	2.90	3.15						0.52				0.48	0.75	1.89					0.58						1.73							3.13	3.76	1.06																2.17		0.50	1.93		3.60		1.58	2.91							1.42					0.65													1.17	1.18			2.10								
51-2021.00			4.35	2.27			0.92	1.93		2.83	1.90		3.39				2.28			3.69			1.81	4.26	3.13	4.43						0.90				0.91	1.70	1.10					1.12						2.24							4.22	4.34	1.59																2.15		0.76	3.37		4.17		2.13	1.81							1.79					1.63													0.93	1.55			2.22								
51-2022.00			1.47	0.59			0.00	0.54		1.28	0.21		2.13				1.20			2.73			0.13	1.87	1.80	2.29						0.00				0.00	0.00	0.00					0.00						0.22							2.13	3.29	0.57																0.63		0.01	1.15		2.63		0.08	1.56							0.27					0.06													0.25	0.06			0.82								
51-2023.00			1.21	0.99			0.52	1.20		1.44	1.24		3.63				1.34			2.55			0.43	2.49	3.20	2.87						0.32				0.39	0.72	0.43					0.38						0.71							2.71	3.69	0.38																0.70		0.40	1.47		3.01		0.45	2.07							0.68					0.44													1.47	0.52			0.81								
51-2031.00			2.94	1.61			0.03	1.99		1.76	0.82		2.44				3.82			2.66			1.15	3.31	3.14	2.64						0.00				0.22	0.50	0.55					0.03						1.69							2.93	4.73	0.25																1.53		0.81	1.82		3.76		1.15	2.71							1.67					0.32													0.28	0.35			2.02								
51-2041.00			2.35	1.37			0.16	2.04		1.00	1.02		2.06				1.92			2.92			1.23	2.85	2.36	2.46						0.17				0.26	0.49	0.33					0.07						0.50							3.25	3.42	0.34																1.28		0.10	1.67		2.93		0.63	2.44							0.92					0.14													0.31	0.42			1.00								
51-2051.00			4.19	2.98			0.98	2.78		3.67	1.27		1.68				3.18			1.97			1.93	4.12	2.39	3.32						0.70				0.55	0.95	1.15					0.39						1.58							2.67	2.98	0.82																1.70		0.57	1.73		3.92		1.69	2.05							1.88					1.59													0.87	0.67			1.01								
51-2061.00			1.45	0.95			0.00	1.41		1.05	0.69		2.04				2.47			1.46			0.44	3.24	3.51	1.96						0.00				0.00	0.25	0.09					0.00						0.31							3.21	4.64	0.00																1.14		0.00	1.84		3.27		1.64	1.28							1.18					0.56													0.29	0.00			0.77								
51-2092.00			3.05	2.21			0.56	2.14		1.66	2.08		3.75				2.38			3.23			1.00	4.08	3.76	3.45						0.32				0.38	0.79	0.83					0.41						1.20							3.09	4.30	0.86																1.89		1.05	2.16		4.09		2.05	3.25							2.04					1.25													1.86	0.64			1.70								
51-3011.00			2.26	1.87			0.53	0.90		1.96	1.37		2.15				3.58			1.97			0.97	2.75	1.68	2.61						1.09				3.99	1.33	0.57					0.89						1.37							2.88	1.55	0.34																1.67		1.00	1.67		4.26		1.16	2.04							2.30					0.89													1.12	0.67			1.38								
51-3021.00			2.15	1.71			0.94	0.66		1.35	1.06		1.59				3.84			1.01			0.96	2.06	0.99	2.07						0.05				4.14	0.44	0.44					0.14						0.84							2.25	2.39	0.37																1.58		0.50	0.47		3.29		1.45	1.36							2.65					0.34													0.35	0.45			0.77								
51-3022.00			3.47	3.20			3.07	2.95		3.55	1.97		2.90				3.44			1.82			2.89	2.87	2.65	2.95						1.37				5.12	2.05	1.79					1.66						2.57							4.15	4.16	3.45																3.46		1.06	1.48		4.53		1.95	3.36							3.03					1.76													1.17	2.02			3.43								
51-3023.00			2.05	2.00			1.84	1.20		1.52	0.40		1.78				3.61			1.29			1.23	1.36	1.92	2.53						0.00				4.05	1.10	0.73					1.05						2.29							2.56	1.96	0.85																1.50		0.42	1.11		3.13		0.86	2.32							2.29					0.90													0.21	0.56			1.08								
51-3091.00			1.50	1.02			1.00	0.75		0.96	0.98		1.25				1.54			0.91			0.55	2.23	1.64	2.74						0.25				2.83	0.42	0.96					0.02						1.35							1.91	2.24	0.57																0.85		0.08	1.10		3.34		0.73	2.76							1.29					0.67													0.57	0.62			1.20								
51-3092.00			3.54	3.24			2.32	1.02		3.39	1.87		3.13				3.01			1.82			1.78	3.74	2.78	3.51						0.25				4.19	0.84	1.32					0.26						2.35							3.04	3.13	0.71																1.82		0.74	2.57		3.86		2.38	4.02							1.46					1.87													1.02	1.05			1.58								
51-3093.00			3.23	1.58			0.37	0.86		2.61	1.35		2.93				1.46			0.86			0.76	3.02	0.87	2.89						0.00				3.39	0.80	0.00					0.27						0.66							1.93	3.24	0.43																1.99		0.27	0.37		4.59		1.59	2.32							0.79					0.67													0.65	0.00			0.73								
51-4021.00			2.88	1.56			0.11	0.26		0.85	0.44		2.62				1.87			1.63			0.91	1.94	1.87	2.87						0.42				0.11	0.62	0.17					0.49						0.60							2.94	2.03	0.41																1.17		0.51	0.43		4.20		0.21	1.95							0.87					0.59													0.57	0.40			1.30								
51-4022.00			3.58	2.63			0.67	2.21		2.28	1.91		3.01				2.81			3.13			1.05	3.59	3.42	2.72						0.67				1.14	0.88	0.55					0.65						1.49							3.66	4.32	0.94																1.81		0.55	2.20		4.41		1.69	2.30							1.68					0.78													0.94	1.04			2.38								
51-4023.00			2.85	0.93			0.30	1.23		2.24	1.48		2.35				3.50			1.35			0.77	3.45	2.46	3.78						0.00				0.76	0.62	0.29					0.12						0.71							2.51	4.53	0.46																1.64		0.45	1.54		4.31		0.40	2.62							0.82					0.58													1.63	0.53			1.85								
51-4031.00			0.99	0.75			0.21	0.64		1.13	0.06		1.53				0.53			2.18			0.64	1.56	2.33	1.77						0.00				0.20	0.07	0.00					0.00						0.28							2.22	2.94	0.03																0.52		0.00	1.28		2.13		0.44	1.08							0.85					0.02													0.04	0.01			1.07								
51-4032.00			3.03	2.30			0.59	2.36		2.42	1.13		3.49				2.49			3.75			0.70	3.70	4.09	3.80						0.03				0.00	0.35	0.36					0.42						1.10							4.84	5.56	0.35																1.49		0.65	2.96		4.32		0.96	2.17							0.99					0.48													0.60	0.64			1.58								
51-4033.00			3.20	1.99			0.27	1.25		2.22	0.77		2.69				1.45			2.16			0.56	1.82	1.95	2.65						0.18				0.26	0.58	0.23					0.21						0.54							2.74	3.39	0.52																0.93		0.48	1.12		3.46		0.97	1.52							0.81					0.33													0.38	0.39			1.25								
51-4034.00			3.92	3.82			0.98	2.32		2.02	0.89		3.35				2.79			3.00			2.24	3.34	3.75	3.34						0.70				0.79	0.63	0.98					0.70						1.67							3.83	4.30	1.07																2.88		0.61	2.25		4.29		1.40	2.82							2.03					0.91													0.99	1.18			0.99								
51-4035.00			3.33	2.33			0.98	2.40		1.96	1.41		3.79				2.28			3.12			1.94	3.26	3.66	2.70						0.56				0.59	1.37	1.20					0.56						0.82							3.68	4.32	0.67																2.12		0.92	2.57		4.01		1.15	2.34							1.59					0.99													1.22	0.72			1.14								
